           source_id which are not unique 
 ===========> total count is 1977
2-004 ===========> total count is 11
2-005 ===========> total count is 10
2-006 ===========> total count is 10
11-001 ===========> total count is 11
11-002 ===========> total count is 11
11-003 ===========> total count is 11
11-004 ===========> total count is 11
11-005 ===========> total count is 11
11-006 ===========> total count is 9
11-007 ===========> total count is 11
11-008 ===========> total count is 11
11-009 ===========> total count is 11
11-010 ===========> total count is 11
11-011 ===========> total count is 11
11-012 ===========> total count is 11
11-013 ===========> total count is 11
11-014 ===========> total count is 11
11-015 ===========> total count is 11
11-016 ===========> total count is 11
11-017 ===========> total count is 11
11-018 ===========> total count is 10
11-019 ===========> total count is 11
11-020 ===========> total count is 11
14-001 ===========> total count is 11
14-002 ===========> total count is 11
14-003 ===========> total count is 11
14-004 ===========> total count is 11
14-005 ===========> total count is 11
14-006 ===========> total count is 11
14-007 ===========> total count is 11
14-008 ===========> total count is 11
14-009 ===========> total count is 10
14-010 ===========> total count is 11
14-011 ===========> total count is 11
14-012 ===========> total count is 11
14-013 ===========> total count is 11
14-014 ===========> total count is 11
14-015 ===========> total count is 9
14-016 ===========> total count is 11
14-017 ===========> total count is 11
14-018 ===========> total count is 11
14-019 ===========> total count is 11
14-020 ===========> total count is 10
8-001 ===========> total count is 11
8-002 ===========> total count is 10
8-003 ===========> total count is 11
8-004 ===========> total count is 11
8-005 ===========> total count is 11
8-006 ===========> total count is 11
8-007 ===========> total count is 11
8-008 ===========> total count is 9
15-004 ===========> total count is 10
12-001 ===========> total count is 10
12-010 ===========> total count is 10
005 ===========> total count is 45
006 ===========> total count is 38
007 ===========> total count is 38
008 ===========> total count is 38
009 ===========> total count is 35
010 ===========> total count is 36







            mannual_id which are not unique 







            artical_id which are not unique 
Introduction ===========> total count is 57
Discussion ===========> total count is 8
Closing Remarks ===========> total count is 13
Cerebrovascular Disorders ===========> total count is 2
Lunch ===========> total count is 4
Break ===========> total count is 43
Questions and Answers ===========> total count is 18
Questions & Answers ===========> total count is 96
Private Practice Perspective ===========> total count is 2
Cases ===========> total count is 4
Welcome ===========> total count is 4
Panel Discussion ===========> total count is 12
Table Discussions ===========> total count is 2
Case 1 ===========> total count is 3
Case 2 ===========> total count is 3
Case 3 ===========> total count is 2
Case 4 ===========> total count is 3
Case 5 ===========> total count is 2
Welcome and Introduction ===========> total count is 3
Questions, Answers, and Discussion ===========> total count is 2
Introduction to the Course ===========> total count is 2
Case Discussions ===========> total count is 2
Welcome and Introductions ===========> total count is 2
Case Presentations ===========> total count is 2
Case Discussion ===========> total count is 2
Case Presentation ===========> total count is 2
Epilepsy ===========> total count is 2
Happy Hour ===========> total count is 2
Industry Therapeutic Update from argenx: Our Evolving Understanding of CIDP: Pathophysiology, Current Unmet Treatment Needs, and the Rationale for Targeting FcRn ===========> total count is 2
Industry Therapeutic Update from Eisai: The Time is Now: Urgent Need for a Patient-Centered Care Framework in Alzheimer's ===========> total count is 2
Industry Therapeutic Update from Sanofi: Navigating BTK Dynamics in Multiple Sclerosis ===========> total count is 2
Subclinical Seizures: Did We Open Pandora's Box or Let Out Schrodinger's Cat? ===========> total count is 2
Dissociating Seizures: Ketamine's Role in the Treatment of Status Epilepticus? ===========> total count is 2
Manikin Simulation ===========> total count is 2
Emerging Neurologic Care Presentations ===========> total count is 4
H72 - Neurology of Beer Tasting (Innovation Hub) ===========> total count is 2
Poster Q&A ===========> total count is 2
TRANSCENDS Scholarship Poster Presentation ===========> total count is 2
Waiting on the World to Change: How SDOH Screening Rates Make a Case for New Embedded SDOH Educational Curricula in Neurology Training Programs ===========> total count is 2
Neurologist-in-training Clinical Ethics Elective (NITCEE) Poster Presentation ===========> total count is 6
Clinical case ===========> total count is 3
